<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
SHS,20190412,4.5088,4.5476,4.4699,4.5088,265900
SHS,20190416,4.5088,4.5088,4.3922,4.4310,456610
SHS,20190417,4.4310,4.4699,4.3922,4.3922,303800
SHS,20190418,4.3922,4.5088,4.3533,4.4310,469494
SHS,20190419,4.4310,4.4699,4.4310,4.4699,539214
SHS,20190422,4.4699,4.5088,4.3922,4.3922,662725
SHS,20190423,4.3922,4.5088,4.3922,4.4699,744324
SHS,20190424,4.4699,4.5476,4.3922,4.4310,795900
SHS,20190425,4.4310,4.4699,4.3144,4.3533,897096
SHS,20190426,4.3533,4.4699,4.3533,4.4699,477800
SHS,20190502,4.4699,4.5088,4.3922,4.4699,514601
SHS,20190503,4.4699,4.4699,4.3922,4.3922,236800
SHS,20190506,4.3922,4.4310,4.3533,4.3922,665541
SHS,20190507,4.3922,4.4699,4.3922,4.4699,462800
SHS,20190508,4.4699,4.4699,4.3533,4.4699,658249
SHS,20190509,4.4699,4.4699,4.3922,4.4310,257630
SHS,20190510,4.4310,4.5476,4.4310,4.5088,801640
SHS,20190513,4.5088,4.6642,4.5088,4.6254,1441626
SHS,20190514,4.6254,4.7420,4.5088,4.7031,1399460
SHS,20190515,4.7031,4.7808,4.6642,4.7420,1152730
SHS,20190516,4.7420,4.7808,4.6642,4.7031,737301
SHS,20190517,4.7031,4.7808,4.6642,4.7031,586450
SHS,20190520,4.7031,4.7808,4.6642,4.7420,894015
SHS,20190521,4.7420,4.7808,4.5476,4.6254,1006920
SHS,20190522,4.6254,4.6254,4.5088,4.5476,2067356
SHS,20190523,4.5476,4.5476,4.4310,4.5088,1350931
SHS,20190524,4.5088,4.5088,4.4310,4.4699,405456
SHS,20190527,4.4699,4.5088,4.4310,4.5088,436780
SHS,20190528,4.5088,4.5088,4.4699,4.5088,398193
SHS,20190529,4.5088,4.5088,4.4310,4.4699,812516
SHS,20190530,4.4699,4.4699,4.3922,4.4310,540683
SHS,20190531,4.4310,4.4699,4.3922,4.3922,722344
SHS,20190603,4.3922,4.3922,4.3144,4.3144,523201
SHS,20190604,4.3144,4.3922,4.2755,4.3533,1157789
SHS,20190605,4.3533,4.4310,4.3533,4.3533,1035455
SHS,20190606,4.3533,4.3922,4.3144,4.3922,635845
SHS,20190607,4.3922,4.6254,4.3922,4.6254,1303047
SHS,20190610,4.6254,4.6642,4.5088,4.5865,798590
SHS,20190611,4.5865,4.6254,4.5476,4.6254,658459
SHS,20190612,4.6254,4.6254,4.5476,4.6254,609271
SHS,20190613,4.6254,4.6254,4.5476,4.5865,352320
