<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VSC,20160609,10.7043,10.7043,10.5181,10.5181,27340
VSC,20160610,10.5181,10.8904,10.5181,10.7043,31440
VSC,20160613,10.7043,10.7043,10.5181,10.6112,40370
VSC,20160614,10.6112,10.6112,10.4250,10.4250,29400
VSC,20160615,10.4250,10.6112,10.4250,10.6112,24410
VSC,20160616,10.6112,11.1697,10.5181,10.9835,243740
VSC,20160617,10.9835,11.5420,10.9835,11.3558,201160
VSC,20160620,11.3558,11.5420,11.2627,11.4489,63970
VSC,20160621,11.4489,11.6351,11.4489,11.4489,96870
VSC,20160622,11.4489,11.9143,11.4489,11.9143,122910
VSC,20160623,11.9143,12.1005,11.9143,12.1005,68940
VSC,20160624,12.1005,12.1005,11.2627,12.1005,326810
VSC,20160627,12.1005,12.1005,11.4489,11.7282,134080
VSC,20160628,11.7282,12.0074,11.7282,11.9143,122550
VSC,20160629,11.9143,12.2866,11.9143,12.1936,224520
VSC,20160630,12.1936,12.4728,12.1936,12.1936,137500
VSC,20160701,12.1936,12.2866,12.1936,12.1936,57690
VSC,20160704,12.1936,12.4728,12.0074,12.1005,114840
VSC,20160705,12.1005,12.1005,11.7282,11.8212,133760
VSC,20160706,11.8212,12.4728,11.7282,12.4728,225710
VSC,20160707,12.4728,12.9382,12.4728,12.7520,203450
VSC,20160708,12.7520,12.7520,12.4728,12.5659,130500
VSC,20160711,12.5659,12.5659,12.1005,12.1936,146390
VSC,20160712,12.1936,12.1936,11.7282,12.1936,89250
VSC,20160713,12.1936,12.2866,12.0074,12.1005,197760
VSC,20160714,12.1005,12.2866,11.9143,12.0074,155510
VSC,20160715,12.0074,12.1005,11.7282,11.8212,151490
VSC,20160718,11.8212,12.0074,11.8212,12.0074,21540
VSC,20160719,12.0074,12.1005,11.8212,12.0074,74310
VSC,20160720,12.0074,12.0074,11.8212,11.8212,57070
VSC,20160721,11.8212,12.0074,11.7282,12.0074,139930
VSC,20160722,12.0074,12.0074,11.7282,11.7282,73240
VSC,20160725,11.7282,11.9143,11.7282,11.8212,34650
VSC,20160726,11.8212,11.9143,11.7282,11.8212,42980
VSC,20160727,11.8212,12.0074,11.8212,11.9143,84560
VSC,20160728,11.9143,12.1005,11.9143,12.1005,70620
VSC,20160729,12.1005,12.8451,12.0074,12.6590,368670
VSC,20160801,12.6590,12.6590,12.2866,12.2866,61220
VSC,20160802,12.2866,12.4728,12.2866,12.3797,102510
VSC,20160803,12.3797,12.3797,12.1005,12.1936,74440
VSC,20160804,12.1936,12.3797,12.0074,12.0074,71340
VSC,20160805,12.0074,12.0074,11.6351,11.9143,180860
VSC,20160808,11.9143,12.1936,11.8212,12.0074,45310
VSC,20160809,12.0074,12.1936,12.0074,12.1005,53280
VSC,20160810,12.1005,12.1936,12.0074,12.1005,86060
VSC,20160811,12.1005,12.2866,12.1005,12.1936,131110
VSC,20160812,12.1936,12.2866,12.0074,12.1005,98440
VSC,20160815,12.1005,12.1936,12.1005,12.1936,23060
VSC,20160816,12.1936,12.8451,12.1936,12.4728,229220
VSC,20160817,12.4728,13.3105,12.2866,13.3105,967640
VSC,20160818,13.3105,13.7759,13.1244,13.4967,267730
VSC,20160819,13.4967,13.4967,13.1244,13.4967,254910
VSC,20160822,13.4967,13.4967,13.2174,13.3105,159100
VSC,20160823,13.3105,13.7759,13.2174,13.7759,436640
VSC,20160824,13.7759,13.9621,13.5898,13.6828,159880
VSC,20160825,13.6828,13.7759,13.5898,13.7759,91620
VSC,20160826,13.7759,13.7759,13.4036,13.4036,321740
VSC,20160829,13.4036,13.4967,13.2174,13.2174,190510
VSC,20160830,13.2174,13.4967,13.1244,13.4967,134880
VSC,20160831,13.4967,13.6828,13.4036,13.4036,169000
VSC,20160901,13.4036,13.7759,13.4036,13.6828,352870
VSC,20160905,13.6828,13.6828,13.3105,13.3105,263810
VSC,20160906,13.3105,13.3105,13.2174,13.3105,157450
VSC,20160907,13.3105,13.3105,12.8451,13.2174,339300
VSC,20160908,13.2174,13.2174,13.0313,13.1244,154960
VSC,20160909,13.1244,13.5898,12.9382,13.2174,152060
VSC,20160912,13.2174,13.2174,13.0313,13.1430,153340
VSC,20160913,13.1430,13.1988,13.0685,13.1244,114770
VSC,20160914,13.1244,13.3850,13.1244,13.1244,100480
VSC,20160915,13.1244,13.2733,13.0871,13.2174,41550
VSC,20160916,13.2174,13.2174,13.1057,13.2174,42040
VSC,20160919,13.2174,13.2174,13.1244,13.1802,79170
VSC,20160920,13.1802,13.5898,13.0871,13.4036,205180
VSC,20160921,13.4036,13.5898,13.4036,13.4036,61360
VSC,20160922,13.4036,13.9621,13.4036,13.5711,240090
VSC,20160923,13.5711,13.7573,13.5711,13.5898,112490
VSC,20160926,13.5898,13.8504,13.5339,13.7387,113460
VSC,20160927,13.7387,13.8690,13.6828,13.7201,161220
VSC,20160928,13.7201,13.9249,13.7015,13.7759,175580
VSC,20160929,13.7759,13.8504,13.3664,13.4781,193660
VSC,20160930,13.4781,13.4781,12.5659,12.6590,849600
VSC,20161003,12.6590,12.6590,12.1749,12.5473,358100
VSC,20161004,12.5473,12.7520,12.4356,12.5659,174400
VSC,20161005,12.5659,12.5659,12.1005,12.1936,284220
VSC,20161006,12.1936,12.4169,12.1936,12.3425,167540
VSC,20161007,12.3425,12.3425,12.1749,12.2680,173850
VSC,20161010,12.2680,12.2680,12.1377,12.2308,74370
VSC,20161011,12.2308,12.3425,12.1191,12.3425,152670
VSC,20161012,12.3425,12.4169,12.2308,12.3425,61160
VSC,20161013,12.3425,12.6590,12.2494,12.6590,107450
VSC,20161014,12.6590,12.6590,12.4356,12.4356,53230
VSC,20161017,12.4356,12.4356,12.1936,12.2122,36360
VSC,20161018,12.2122,12.4542,12.1936,12.2308,58480
VSC,20161019,12.2308,12.4542,12.1936,12.2308,33640
VSC,20161020,12.2308,12.4387,12.2308,12.3253,59750
VSC,20161021,12.3253,12.3253,12.0039,12.0039,110150
VSC,20161024,12.0039,12.0039,11.7582,11.8149,134980
VSC,20161025,11.8149,11.8149,11.2478,11.3423,263530
VSC,20161026,11.3423,11.9094,11.0587,11.9094,144510
VSC,20161027,11.9094,11.9094,11.3423,11.3801,21370
VSC,20161028,11.3801,11.7204,11.3423,11.7204,41980
VSC,20161031,11.7204,11.7204,11.3423,11.4368,50920
VSC,20161101,11.4368,11.5313,11.3612,11.5313,27960
VSC,20161102,11.5313,11.5313,11.1533,11.1533,73020
VSC,20161103,11.1533,11.1533,11.0777,11.1533,60260
VSC,20161104,11.1533,11.2667,11.1533,11.1722,33110
VSC,20161107,11.1722,11.2478,11.1722,11.1911,52860
VSC,20161108,11.1911,11.5124,11.1911,11.4368,40510
VSC,20161109,11.4368,11.4368,11.1533,11.3423,134590
VSC,20161110,11.3423,11.7204,11.3423,11.4368,69720
VSC,20161111,11.4368,11.5313,11.3423,11.4368,48310
VSC,20161114,11.4368,11.4368,11.2478,11.3423,71640
VSC,20161115,11.3423,11.5313,11.2100,11.2478,56860
VSC,20161116,11.2478,11.4179,11.2478,11.3234,6300
VSC,20161117,11.3234,11.4746,11.3234,11.3423,30360
VSC,20161118,11.3423,11.3990,11.2478,11.2478,22750
VSC,20161121,11.2478,11.3423,11.1533,11.2856,30990
VSC,20161122,11.2856,11.3234,11.2100,11.2100,14680
VSC,20161123,11.2100,11.3234,11.2100,11.3045,37740
VSC,20161124,11.3045,11.3045,11.2100,11.2478,13310
VSC,20161125,11.2478,11.2478,10.9642,11.0966,63430
VSC,20161128,11.0966,11.0966,10.8697,10.8697,65890
VSC,20161129,10.8697,10.8697,10.6051,10.6807,44110
VSC,20161130,10.6807,11.1533,10.6618,10.7752,80940
VSC,20161201,10.7752,11.0587,10.7752,10.9264,117380
VSC,20161202,10.9264,11.0398,10.6996,10.7563,37670
VSC,20161205,10.7563,10.9075,10.5862,10.5862,28360
VSC,20161206,10.5862,10.6807,10.5483,10.5862,41030
VSC,20161207,10.5862,10.6618,10.5105,10.5294,32390
VSC,20161208,10.5294,10.6618,10.5294,10.6618,35030
VSC,20161209,10.6618,10.6618,10.5483,10.5483,25820
VSC,20161212,10.5483,10.5862,10.3026,10.5483,75920
VSC,20161213,10.5483,10.5483,10.2081,10.2081,42380
VSC,20161214,10.2081,10.4916,10.1703,10.2081,126780
VSC,20161215,10.2081,10.3971,10.1325,10.3026,139520
VSC,20161216,10.3026,10.3026,10.2081,10.2837,40970
VSC,20161219,10.2837,10.4727,10.2081,10.3026,46480
VSC,20161220,10.3026,10.3026,10.1136,10.2081,47660
VSC,20161221,10.2081,10.2081,10.0190,10.1136,167370
VSC,20161222,10.1136,10.1136,9.6410,9.8678,101190
VSC,20161223,9.8678,10.0001,9.6032,9.6788,177810
VSC,20161226,9.6788,10.3026,9.6032,10.3026,269480
VSC,20161227,10.3026,10.5862,10.1136,10.2837,140760
VSC,20161228,10.2837,10.2837,9.8300,9.9245,76190
VSC,20161229,9.9245,10.3215,9.9245,10.3215,146290
VSC,20161230,10.3215,10.5862,10.1136,10.5862,101790
VSC,20170103,10.5862,10.7374,10.3971,10.5483,89020
VSC,20170104,10.5483,10.9453,10.5483,10.6996,154580
VSC,20170105,10.6996,10.7752,10.5862,10.7752,65240
VSC,20170106,10.7752,10.7752,10.6807,10.6996,35560
VSC,20170109,10.6996,10.8130,10.6240,10.6996,46740
VSC,20170110,10.6996,10.7563,10.5294,10.5862,76930
VSC,20170111,10.5862,10.6429,10.5862,10.6240,43830
VSC,20170112,10.6240,10.6807,10.6051,10.6240,73640
VSC,20170113,10.6240,11.1533,10.6240,10.8697,125300
VSC,20170116,10.8697,10.9264,10.6996,10.6996,36010
VSC,20170117,10.6996,11.0398,10.6996,10.9642,157050
VSC,20170118,10.9642,11.0587,10.7752,10.8319,46180
VSC,20170119,10.8319,10.9264,10.7563,10.7941,49170
VSC,20170120,10.7941,10.9453,10.7941,10.8508,52330
VSC,20170123,10.8508,10.9642,10.7941,10.8319,72050
VSC,20170124,10.8319,11.1533,10.7941,11.1533,71830
VSC,20170125,11.1533,11.3423,11.1533,11.1911,119100
VSC,20170202,11.1911,11.3423,11.1911,11.2100,33820
VSC,20170203,11.2100,11.2289,11.0777,11.1911,70370
VSC,20170206,11.1911,11.3423,11.1533,11.2478,88620
VSC,20170207,11.2478,11.6070,11.2478,11.5502,139350
VSC,20170208,11.5502,11.6259,11.4557,11.5692,53020
VSC,20170209,11.5692,11.7204,11.4935,11.5502,74680
VSC,20170210,11.5502,11.6637,11.4935,11.4935,69300
VSC,20170213,11.4935,11.6070,11.4746,11.5881,69460
VSC,20170214,11.5881,11.6259,11.3423,11.4368,162870
VSC,20170215,11.4368,11.4368,11.3045,11.3990,150880
