<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
REE,20140624,16.2989,16.2989,16.0412,16.2345,327100
REE,20140625,16.3633,16.8787,16.3633,16.6210,1839880
REE,20140626,16.7498,17.2008,16.6854,16.8787,1892180
REE,20140627,16.8787,17.1364,16.8787,16.9431,1079080
REE,20140630,16.8787,17.2008,16.8787,16.9431,682280
REE,20140701,16.9431,17.2652,16.9431,17.1364,1203340
REE,20140702,17.2652,17.6518,17.2008,17.6518,1124100
REE,20140703,17.7162,17.9739,17.5874,17.6518,934980
REE,20140704,17.6518,17.7806,17.4585,17.5229,918820
REE,20140707,17.5873,17.7806,17.4585,17.4585,1036080
REE,20140708,17.4585,17.5873,17.3297,17.3941,789260
REE,20140709,17.3941,17.7806,17.3941,17.7806,1100910
REE,20140710,17.7806,17.8450,17.2652,17.3941,1363320
REE,20140711,17.3941,17.3941,17.0720,17.3941,547900
REE,20140714,17.3941,17.4585,17.2008,17.4585,384180
REE,20140715,17.5229,17.9095,17.5229,17.9095,1642460
REE,20140716,18.1672,18.4893,17.9739,18.1672,2093620
REE,20140717,18.1028,18.2960,18.0384,18.2316,932580
REE,20140718,18.1672,18.2316,17.9739,18.2316,1266340
REE,20140721,18.2960,18.6181,18.2316,18.3604,2065400
REE,20140722,18.3604,18.3604,18.1027,18.2960,497350
REE,20140723,18.2960,18.2960,18.1027,18.1672,467660
REE,20140724,18.1672,18.3605,18.1672,18.2960,624810
REE,20140725,18.2960,18.4248,17.9739,17.9739,880050
REE,20140728,17.9739,17.9739,17.3297,17.3941,1643880
REE,20140729,17.3941,17.5874,17.3297,17.4585,729220
REE,20140730,17.4585,17.5873,17.3297,17.3941,554620
REE,20140731,17.3297,17.7162,17.3297,17.6518,347370
REE,20140801,17.6518,17.6518,17.4585,17.5229,381590
REE,20140804,16.7498,17.5229,16.7498,17.5229,528880
REE,20140805,17.5873,17.9095,17.3941,17.9095,1020130
REE,20140806,17.9739,18.1028,17.7162,17.7806,1093350
REE,20140807,17.7162,17.8451,17.5229,17.8451,711060
REE,20140808,17.8451,17.8451,17.5230,17.5874,1721510
REE,20140811,17.5230,17.5230,17.2009,17.2653,1486890
REE,20140812,17.2653,17.3941,17.1365,17.2653,624420
REE,20140813,17.2653,17.5230,17.2009,17.3941,1039600
REE,20140814,17.4585,17.5874,17.3297,17.4585,956340
REE,20140815,17.5229,17.5229,17.3941,17.4585,440500
REE,20140818,17.4585,17.7162,17.4585,17.5874,1045330
REE,20140819,17.5874,17.7162,17.5229,17.5229,992350
REE,20140820,17.5229,17.7162,17.5229,17.6518,428830
REE,20140821,17.6518,18.1028,17.5874,17.9739,2409940
REE,20140822,18.0383,18.1027,17.9095,17.9095,1114720
REE,20140825,18.0383,18.1028,17.9095,17.9739,1379040
REE,20140826,18.2960,18.4249,18.1027,18.2960,2476720
REE,20140827,18.3604,18.5537,18.2960,18.4249,1629660
REE,20140828,18.3605,19.0047,18.3605,18.8114,1713990
REE,20140829,18.9402,19.1335,18.7470,18.9402,1500620
REE,20140903,19.0046,19.3912,18.8114,18.8114,1131150
REE,20140904,18.8114,18.8758,18.5537,18.5537,1855470
REE,20140905,18.5537,18.8758,18.5537,18.6826,1003620
REE,20140908,18.9403,19.0047,18.6826,18.7470,1108530
REE,20140909,18.7470,18.8114,17.8451,18.1027,2685810
REE,20140910,18.0383,18.2316,17.8450,18.2316,980160
REE,20140911,18.2960,18.3604,18.1672,18.1672,535930
REE,20140912,18.1672,18.4893,18.1028,18.4249,736100
REE,20140915,18.5537,18.9403,18.5537,18.7470,1715100
REE,20140916,18.6826,18.8114,18.4893,18.7470,966310
REE,20140917,18.8758,18.9403,18.6181,18.6181,1061120
REE,20140918,18.6181,18.9402,18.4893,18.4893,1342060
REE,20140919,18.4893,18.6826,18.4249,18.5537,619470
