Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10W,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ
BKC,8.8,8.8,0.0,0.0,0.0,0.0,325.0,0.0,9.2,5.4,664.0,13.3,103.0,11.54,13.5,-0.28,2.0,386.0,1.7037037037037035,35507.692307692305
BLF,2.9,3.0,2.9,2.9,2.9,600.0,3557.0,300.0,5.2,2.9,149.0,19.5,30.0,10.5,13.4,0.18,2.0,573.0,1.793103448275862,2951.9257801518133
BLI,6.8,6.8,6.8,6.8,6.8,100.0,1135.0,800.0,8.7,5.9,506.0,13.4,408.0,60.0,10.9,0.0,5.0,-612.0,1.4745762711864405,52863.436123348016
BLT,28.3,28.3,0.0,0.0,0.0,0.0,107.0,110.0,41.6,12.9,0.0,0.0,113.0,4.0,0.0,0.0,8.0,0.0,3.2248062015503876,37383.17757009345
BMC,13.5,13.5,13.15,13.15,13.7,5350.0,16878.0,8362.0,22.3,13.2,781.0,17.3,167.0,12.39,15.5,0.23,5.0,769.0,1.6893939393939394,734.091717028084
BMD,7.0,7.0,0.0,0.0,0.0,0.0,148.0,100.0,10.0,6.1,398.0,17.6,19.0,2.75,10.4,0.0,8.0,0.0,1.639344262295082,18581.081081081084
BMI,30.55,30.75,30.7,30.1,30.7,36830.0,69261.0,47911.0,36.0,25.3,1788.0,17.1,2791.0,91.35,23.6,0.0,8.0,2235.0,1.4229249011857708,1318.9240698228439
BMJ,12.0,12.0,0.0,0.0,0.0,0.0,6744.0,1170.0,16.6,10.1,0.0,0.0,72.0,6.0,0.0,0.0,15.0,0.0,1.6435643564356437,889.6797153024911
BMP,63.6,66.4,66.5,63.6,67.0,603300.0,508826.0,302241.0,105.7,63.6,5758.0,11.0,5206.0,81.86,30.0,0.86,19.0,7607.0,1.6619496855345912,160.8801437033485
BPC,19.5,19.5,0.0,0.0,0.0,0.0,600.0,240.0,20.0,15.7,3703.0,5.3,74.0,3.8,27.1,-0.03,14.0,4559.0,1.2738853503184715,6333.333333333333
BQB,8.5,8.5,0.0,0.0,0.0,0.0,165.0,580.0,19.8,8.5,141.0,60.3,49.0,5.8,12.5,0.0,1.0,0.0,2.3294117647058825,35151.51515151515
BRC,9.9,9.5,10.15,9.5,10.15,620.0,895.0,2315.0,12.6,9.2,1202.0,8.2,123.0,12.37,15.8,-0.06,8.0,1849.0,1.3695652173913044,13821.229050279328
BRR,9.6,9.6,0.0,0.0,0.0,0.0,647.0,140.0,22.5,8.4,772.0,12.4,1080.0,112.5,10.9,0.0,7.0,0.0,2.6785714285714284,173879.44358578054
BSG,10.0,10.0,0.0,0.0,0.0,0.0,334.0,0.0,10.5,6.9,91.0,109.9,600.0,60.0,10.3,0.0,1.0,31.0,1.5217391304347825,179640.71856287424
BSI,15.5,15.5,15.6,15.5,16.0,331310.0,137336.0,266228.0,17.5,10.4,1626.0,9.5,1668.0,107.64,12.4,1.24,14.0,1163.0,1.6826923076923077,783.7711889089531
BSL,14.2,14.2,0.0,0.0,0.0,0.0,1274.0,580.0,29.2,13.9,1088.0,13.1,639.0,45.0,11.0,0.0,10.0,0.0,2.1007194244604315,35321.821036106754
BSP,25.1,28.0,25.0,25.0,25.5,10300.0,3482.0,4434.0,28.4,20.2,4485.0,5.6,314.0,12.5,19.8,0.0,23.0,3033.0,1.4059405940594059,3589.890867317634
BSQ,22.0,22.0,0.0,0.0,0.0,0.0,1918.0,430.0,24.4,20.3,2398.0,9.2,990.0,45.0,13.6,0.0,18.0,1886.0,1.2019704433497536,23461.93952033368
BSR,22.5,23.1,23.1,22.4,23.1,582600.0,1870122.0,1359982.0,31.0,22.5,8229.0,2.7,5432.0,241.43,143.1,0.0,6.0,0.0,1.3777777777777778,129.09852940075567
BST,11.5,12.5,11.5,11.5,11.5,200.0,133.0,70.0,12.5,9.1,1286.0,8.9,13.0,1.1,12.1,-0.79,11.0,1378.0,1.3736263736263736,8270.676691729324
BT1,17.0,17.0,0.0,0.0,0.0,0.0,66.0,0.0,19.5,15.5,0.0,0.0,89.0,5.25,0.0,0.0,11.0,0.0,1.2580645161290323,79545.45454545454
BT6,5.0,5.0,0.0,0.0,0.0,0.0,1144.0,98.0,6.1,4.1,363.0,13.8,165.0,32.99,16.0,0.0,1.0,0.0,1.4878048780487805,28837.41258741259
BTB,10.0,10.0,0.0,0.0,0.0,0.0,175.0,0.0,12.0,7.7,775.0,12.9,77.0,7.69,13.7,0.0,6.0,625.0,1.5584415584415585,43942.857142857145
BTC,61.0,61.0,0.0,0.0,0.0,0.0,27.0,0.0,70.0,40.0,1477.0,41.3,87.0,1.43,0.0,0.57,-193.0,-5864.0,1.75,52962.96296296296
BTCUSD,8092.25,0.0,8133.54,8061.25,8170.0,0.0,66894.0,0.0,11503.1,6553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.755394475812605,0.0
BTD,16.6,16.6,16.8,16.4,16.8,4700.0,9215.0,8560.0,20.1,13.9,1653.0,10.0,106.0,6.41,33.6,0.0,21.0,0.0,1.446043165467626,695.604991861096
BTG,6.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,3.8,3634.0,1.7,7.0,1.19,18.3,0.0,3.0,0.0,1.842105263157895,595000.0
BTH,5.2,5.2,0.0,0.0,0.0,0.0,76.0,0.0,10.0,5.2,0.0,0.0,18.0,3.5,0.0,0.0,-2.0,0.0,1.923076923076923,46052.63157894737
BTN,12.1,12.1,0.0,0.0,0.0,0.0,18.0,0.0,24.4,12.1,0.0,0.0,36.0,3.0,0.0,0.0,14.0,0.0,2.0165289256198347,166666.66666666666
BTP,11.3,11.2,11.2,11.1,11.3,3790.0,8410.0,9975.0,12.8,10.0,1620.0,7.0,683.0,59.29,19.0,0.28,9.0,1992.0,1.28,7049.940546967896
BTS,4.5,4.5,4.5,4.5,4.5,100.0,2834.0,739.0,8.5,4.4,14.0,321.4,540.0,119.96,11.1,-0.4,0.0,1097.0,1.9318181818181817,42328.86379675371
