Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10D,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ
GMD,41.0,39.95,40.0,40.0,41.6,637240.0,812427.0,996766.0,46.1,31.1,1748.0,23.5,11819.0,288.28,24.6,0.74,8.0,1324.0,1.4823151125401932,354.83803467880796
GTN,12.9,12.95,12.95,12.9,13.05,135800.0,760108.0,383894.0,23.4,12.9,56.0,230.4,3225.0,250.0,15.0,0.51,4.0,60.0,1.8139534883720931,328.90062991048643
HAG,6.5,6.15,6.3,6.14,6.5,9810120.0,5569380.0,12568026.0,10.1,6.2,779.0,8.3,6029.0,927.47,19.7,1.12,6.0,-1100.0,1.6290322580645158,166.53020623480532
HAH,16.6,16.2,16.2,16.2,17.0,78910.0,92379.0,223207.0,26.9,16.0,4267.0,3.9,573.0,34.51,24.2,0.24,18.0,3858.0,1.68125,373.5697507009169
HAI,4.92,4.86,4.92,4.9,5.0,1300990.0,4383933.0,3458957.0,22.5,3.4,239.0,20.6,899.0,182.68,17.4,0.59,2.0,536.0,6.617647058823531,41.67034487069032
HAR,10.0,9.65,10.0,9.6,10.0,553120.0,1449946.0,1527976.0,15.7,2.7,273.0,36.6,1011.0,101.13,10.7,-0.61,3.0,180.0,5.814814814814813,69.74742507652009
HBC,38.75,38.0,38.0,38.0,38.9,1322090.0,1807471.0,1511533.0,63.8,29.5,6621.0,5.9,5032.0,129.85,19.0,0.25,35.0,4415.0,2.16271186440678,71.84071003075567
HCD,8.45,8.45,8.3,8.2,8.45,174140.0,297219.0,221326.0,11.8,7.5,979.0,8.6,114.0,26.33,12.8,0.56,13.0,1474.0,1.5733333333333337,88.58787627978022
HCM,79.8,82.6,82.6,78.0,83.2,299780.0,433412.0,487333.0,83.0,28.7,3425.0,23.3,10355.0,129.52,20.2,1.32,17.0,2302.0,2.8919860627177703,298.8380570911742
HDC,14.6,14.4,14.7,14.4,14.8,353340.0,313361.0,265165.0,18.5,9.8,1781.0,8.2,658.0,45.08,15.9,0.17,11.0,1290.0,1.8877551020408159,143.8596379255874
HDG,43.0,42.3,42.3,42.3,44.0,416580.0,204164.0,232650.0,43.0,25.8,2605.0,16.5,3267.0,75.97,27.5,0.29,14.0,2671.0,1.6666666666666663,372.10281930212966
