Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10D,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ
CSV,38.1,38.0,38.4,38.0,39.0,26310.0,50843.0,81642.0,40.5,27.0,5448.0,7.0,1680.0,44.2,18.2,-0.16,31.0,3825.0,1.5,869.3428790590642
CTG,25.65,24.5,25.5,25.4,26.0,2038450.0,3729415.0,7421756.0,28.3,16.4,2008.0,12.2,91223.0,3723.4,16.7,1.75,12.0,1727.0,1.7256097560975612,998.3871465095732
DCM,12.05,12.0,12.0,12.0,12.4,266400.0,1562973.0,2087072.0,15.0,9.9,1207.0,9.9,6353.0,529.4,11.6,0.66,10.0,1171.0,1.5151515151515151,338.7134646599781
DHG,97.5,97.0,98.3,96.0,98.3,59620.0,273873.0,261284.0,126.2,71.1,4914.0,19.7,12682.0,130.74,21.1,0.67,23.0,5431.0,1.7749648382559777,477.37454951747713
DIG,22.0,21.55,22.1,21.9,22.3,641800.0,4196479.0,4468232.0,24.4,7.4,346.0,62.3,5133.0,238.19,11.9,0.6,3.0,86.0,3.297297297297297,56.759488132789414
DLG,3.25,3.15,3.15,3.15,3.3,287860.0,1803273.0,2163216.0,4.8,2.8,243.0,13.0,898.0,285.06,11.8,1.08,2.0,231.0,1.7142857142857144,158.07922594083092
DPM,21.4,21.7,22.1,21.25,22.1,500980.0,877245.0,1705970.0,26.1,19.2,1785.0,12.2,8493.0,388.95,20.7,0.86,9.0,2899.0,1.3593750000000002,443.3767077612298
DPR,39.6,39.7,38.7,38.7,39.9,9390.0,45858.0,66608.0,44.5,34.2,6308.0,6.3,1707.0,43.0,61.2,0.66,11.0,2105.0,1.3011695906432748,937.6771773736317
DRH,15.8,16.0,16.0,15.7,16.2,42060.0,273978.0,291349.0,32.9,16.0,1462.0,10.9,784.0,48.71,14.2,-0.3,10.0,1303.0,2.05625,177.78799757644774
DQC,33.1,32.05,33.0,32.5,33.5,8010.0,63548.0,55110.0,54.9,31.0,3455.0,9.3,1101.0,31.92,35.4,0.28,10.0,6530.0,1.770967741935484,502.2974759237112
DRC,25.9,25.9,26.2,25.8,26.4,126730.0,645519.0,489291.0,32.8,19.4,1361.0,19.0,3077.0,118.79,12.6,0.73,11.0,3326.0,1.690721649484536,184.02246874220592
DXG,28.85,28.2,28.9,28.6,29.2,859710.0,4125147.0,3729743.0,30.5,12.1,2477.0,11.4,8550.0,303.13,15.4,1.2,23.0,1772.0,2.5206611570247937,73.48344192340296
ELC,14.0,13.65,13.65,13.5,14.2,57810.0,111649.0,85119.0,22.8,13.5,1241.0,11.0,695.0,50.93,16.5,0.16,8.0,2595.0,1.6888888888888889,456.1617211081156
EVE,17.0,16.8,17.3,17.0,17.6,65730.0,300481.0,247227.0,22.4,15.5,1239.0,13.6,705.0,41.5,22.1,0.37,6.0,2020.0,1.4451612903225806,138.11189393006543
FCN,20.7,20.45,20.5,20.5,21.0,111000.0,885244.0,969179.0,24.3,15.3,1943.0,10.5,1112.0,87.35,25.7,1.11,13.0,2761.0,1.588235294117647,98.67336011314394
FIT,6.67,6.58,6.7,6.61,6.79,781490.0,2227612.0,1936728.0,13.3,4.0,416.0,15.8,1676.0,254.73,15.7,0.57,3.0,440.0,3.325,114.35115271420695
FLC,5.56,5.41,5.41,5.41,5.61,1751920.0,14889113.0,7998377.0,8.2,5.3,641.0,8.4,3693.0,730.49,13.5,0.54,5.0,1535.0,1.5471698113207546,49.06202270074785
FPT,55.6,55.0,56.3,54.5,56.3,594750.0,2275146.0,2859107.0,64.0,37.4,5513.0,10.0,29203.0,530.94,24.9,0.93,27.0,3749.0,1.7112299465240641,233.36524337339233
GAS,97.0,96.8,95.2,95.2,98.0,627530.0,802054.0,1080857.0,124.6,50.1,5004.0,19.3,185270.0,1913.95,22.6,1.08,23.0,3663.0,2.4870259481037924,2386.310647412768
GMD,39.95,39.0,39.0,39.0,41.0,286830.0,816276.0,1079314.0,46.1,29.3,1748.0,22.3,11243.0,288.28,24.6,0.71,8.0,1324.0,1.5733788395904438,353.16486090488996
GTN,12.9,13.0,13.0,12.85,13.05,131020.0,782622.0,426936.0,23.4,13.0,56.0,232.1,3250.0,250.0,15.0,0.44,4.0,60.0,1.7999999999999998,319.43901398120676
HAG,6.06,6.5,6.4,6.05,6.6,11885920.0,5280850.0,12226466.0,10.1,6.2,779.0,8.3,6029.0,927.47,19.7,0.99,6.0,-1100.0,1.629032258064516,175.62892337407803
HHS,4.3,4.19,4.4,4.28,4.4,293300.0,2122209.0,1749179.0,5.7,3.8,335.0,12.5,1151.0,274.74,11.7,0.62,3.0,511.0,1.5000000000000002,129.45944532324575
HNG,6.14,6.6,6.31,6.14,6.7,7959530.0,1699742.0,3767343.0,12.6,6.6,1407.0,4.7,5063.0,767.14,13.7,0.9,9.0,-1244.0,1.9090909090909092,451.3273190872497
HQC,2.25,2.24,2.24,2.24,2.29,887200.0,5904537.0,5919469.0,3.6,2.2,149.0,15.0,1068.0,476.6,8.9,0.55,2.0,235.0,1.6363636363636362,80.71759055790488
HT1,14.25,14.45,14.8,14.25,14.8,31760.0,508884.0,297552.0,23.3,12.9,1239.0,11.7,5514.0,381.54,13.6,0.87,9.0,2131.0,1.806201550387597,749.7582946211711
HVG,4.71,4.71,0.0,0.0,0.0,0.0,1093264.0,749013.0,9.3,4.4,-3211.0,-1.5,1069.0,222.04,11.3,1.57,-28.0,-222.0,2.1136363636363638,203.0982452545771
HSG,22.8,22.6,23.0,22.75,23.45,714170.0,3707653.0,3303336.0,33.3,21.1,3500.0,6.5,7910.0,350.0,15.7,0.9,22.0,5020.0,1.5781990521327012,94.39934103865707
HDG,42.3,42.3,42.4,42.3,42.8,184100.0,198299.0,219650.0,43.0,25.8,2605.0,16.2,3213.0,75.97,27.5,0.28,14.0,2671.0,1.6666666666666665,383.10833640109126
HCM,81.9,81.0,81.0,81.0,83.0,114170.0,434092.0,550109.0,83.0,28.7,3425.0,23.6,10510.0,129.52,20.2,1.36,17.0,2302.0,2.8919860627177703,298.36993079807974
HPG,58.3,58.3,58.3,57.9,59.7,2868280.0,4826000.0,6905443.0,63.9,25.0,4984.0,11.7,88446.0,1516.97,19.9,1.08,25.0,4352.0,2.556,314.3327807708247
HBC,36.5,36.2,36.95,36.4,37.05,697450.0,1790358.0,1651610.0,63.8,28.3,6621.0,5.5,4701.0,129.85,19.0,0.2,35.0,4415.0,2.254416961130742,72.52739396254827
IJC,8.65,8.45,8.7,8.6,8.7,119310.0,523567.0,750208.0,13.0,7.6,1367.0,6.2,1158.0,137.1,12.1,0.77,11.0,1006.0,1.7105263157894737,261.8576037068799
ITA,2.98,2.9,2.95,2.91,3.0,574270.0,3379230.0,3297443.0,4.9,2.9,54.0,53.7,2722.0,937.88,11.0,0.79,1.0,56.0,1.6896551724137934,277.5425170822939
KBC,12.35,12.5,12.5,12.35,12.7,888180.0,3237563.0,4370053.0,17.2,11.9,1244.0,10.0,5946.0,469.76,19.2,0.97,7.0,1188.0,1.4453781512605042,145.09679039450353
KSB,38.5,38.6,38.0,38.0,39.0,26670.0,313774.0,273178.0,57.6,34.2,5925.0,6.5,1806.0,46.8,16.4,0.52,36.0,4398.0,1.6842105263157894,149.15193738168236
KDH,31.4,31.4,31.4,31.25,31.5,94290.0,280338.0,258884.0,35.0,16.9,1509.0,20.8,10550.0,336.0,18.4,0.2,9.0,1125.0,2.0710059171597637,1198.5531750957773
KDC,41.0,42.0,41.8,40.9,42.1,31430.0,433372.0,423674.0,46.0,35.2,1503.0,27.9,10779.0,255.16,30.7,0.47,6.0,4487.0,1.3068181818181817,588.778232096213
MBB,29.8,28.9,30.0,29.5,30.0,1775780.0,5772844.0,6339813.0,33.1,12.7,2123.0,13.6,52468.0,1815.51,15.9,1.53,14.0,1556.0,2.6062992125984255,314.49143611017377
MSN,83.4,82.2,84.0,81.1,84.0,575420.0,824800.0,800916.0,97.5,40.7,2962.0,27.8,95136.0,1047.47,19.3,1.06,18.0,2665.0,2.3955773955773956,1269.9684772065957
MWG,112.6,112.0,115.0,111.5,115.0,415880.0,671859.0,657521.0,137.5,80.8,6958.0,16.1,35503.0,316.99,19.2,0.5,37.0,5125.0,1.7017326732673268,471.81030543611087
NKG,35.4,35.0,35.0,35.0,36.0,19440.0,700762.0,446727.0,44.3,23.1,5442.0,6.4,4550.0,130.0,22.6,0.79,24.0,3997.0,1.9177489177489175,185.51234227883361
NLG,32.45,33.65,33.0,32.3,33.0,253560.0,690187.0,557808.0,35.0,19.9,3403.0,9.9,5291.0,157.23,23.7,0.73,20.0,2196.0,1.7587939698492463,227.80782599498394
NT2,32.0,31.0,31.0,31.0,32.5,111260.0,356529.0,247709.0,36.6,23.7,2815.0,11.0,8924.0,287.88,17.3,0.5,16.0,3770.0,1.5443037974683544,807.4518482367494
NVL,79.3,80.0,79.7,79.0,80.0,1861170.0,1452396.0,2449601.0,84.6,59.2,3265.0,24.5,49826.0,622.83,21.3,0.4,16.0,2669.0,1.429054054054054,428.8293275387704
NBB,25.0,25.0,25.9,25.0,25.9,3720.0,146498.0,25409.0,26.0,15.3,761.0,32.9,2398.0,95.77,20.1,1.15,4.0,483.0,1.6993464052287581,653.7290611475925
PVT,17.4,17.5,17.5,17.4,17.9,33830.0,599340.0,1175112.0,19.7,11.4,1501.0,11.7,4925.0,281.44,16.5,0.82,11.0,1468.0,1.7280701754385963,469.58320819568195
PVD,19.8,19.9,20.0,19.1,20.3,1107230.0,3667843.0,4599491.0,30.6,13.0,69.0,288.4,7627.0,383.27,35.1,1.81,0.0,313.0,2.353846153846154,104.49465803198228
PHR,43.35,42.95,42.5,41.8,43.35,89400.0,365539.0,294602.0,52.0,23.6,4138.0,10.4,3492.0,78.98,30.5,1.04,14.0,3592.0,2.2033898305084745,216.0644965379891
PGI,19.0,19.0,0.0,0.0,0.0,0.0,31381.0,18967.0,23.2,16.8,1334.0,14.2,1686.0,88.6,16.7,0.01,8.0,1206.0,1.380952380952381,2823.364456199611
PDR,35.3,34.6,34.75,34.75,35.5,1148050.0,1411380.0,1488042.0,39.5,12.1,2019.0,17.1,7681.0,221.99,12.8,0.4,16.0,1091.0,3.2644628099173554,157.28577704091032
PTB,126.0,125.9,128.0,126.0,128.0,4740.0,104331.0,96278.0,144.8,100.7,13271.0,9.5,3263.0,25.92,42.3,0.51,33.0,10078.0,1.4379344587884808,248.4400609598298
PNJ,154.0,147.5,151.0,150.2,155.0,196410.0,348810.0,401158.0,150.5,71.9,6712.0,22.0,15945.0,108.1,27.3,0.61,25.0,4164.0,2.093184979137691,309.9108397121642
PC1,35.0,35.0,35.0,34.9,35.0,55450.0,181613.0,91894.0,40.7,27.1,2056.0,17.0,4041.0,115.45,24.4,0.15,9.0,2649.0,1.5018450184501846,635.6923788495317
PLX,74.7,73.1,73.1,73.1,74.7,270940.0,874568.0,1241987.0,93.1,42.1,2679.0,27.3,94582.0,1293.88,18.7,1.25,16.0,3606.0,2.211401425178147,1479.4504258102286
PPC,19.1,18.85,19.0,18.9,19.2,34620.0,252550.0,192667.0,23.7,14.8,2627.0,7.2,6150.0,318.15,17.2,1.25,15.0,1706.0,1.6013513513513513,1259.750544446644
PAC,40.0,40.8,41.9,40.0,41.9,2230.0,70355.0,79473.0,55.6,31.3,2766.0,14.8,1896.0,46.48,13.9,0.9,20.0,2611.0,1.7763578274760383,660.6495629308506
QCG,12.2,12.05,11.95,11.9,12.5,537120.0,834300.0,1670061.0,28.2,4.1,1541.0,7.8,3315.0,275.13,15.0,0.8,10.0,253.0,6.878048780487806,329.77346278317157
REE,37.75,37.2,37.4,37.4,38.2,657790.0,1648486.0,1772522.0,43.8,24.7,4514.0,8.2,11534.0,305.06,28.5,1.12,18.0,3636.0,1.7732793522267205,185.0546501456488
SAM,7.28,7.22,7.2,7.2,7.4,302920.0,857308.0,1463798.0,8.8,6.0,454.0,15.9,1746.0,241.79,11.0,1.33,4.0,95.0,1.4666666666666668,282.0339947836717
SJD,23.4,23.1,23.1,23.0,23.8,26680.0,73962.0,68902.0,24.4,15.5,2807.0,8.2,1594.0,69.0,16.0,0.13,17.0,2093.0,1.5741935483870966,932.9114950920743
SJS,31.4,31.1,31.1,31.0,31.4,14770.0,290876.0,373454.0,33.7,21.9,472.0,65.9,3110.0,99.04,20.1,0.36,2.0,2811.0,1.5388127853881282,340.488730593105
STB,15.4,14.95,15.4,15.2,15.45,3696660.0,10771585.0,22169108.0,17.1,10.0,384.0,38.9,28184.0,1785.22,12.8,1.71,3.0,-35.0,1.7100000000000002,165.7341978919537
STG,18.95,18.7,18.5,18.45,18.95,8340.0,143358.0,101203.0,36.6,18.3,4669.0,4.0,1598.0,85.44,17.9,0.74,35.0,1073.0,2.0,595.9904574561587
SKG,26.55,26.1,26.1,26.1,26.85,16030.0,205994.0,216372.0,57.4,24.3,3626.0,7.2,1252.0,47.98,16.8,0.75,22.0,4438.0,2.362139917695473,232.91940541957533
SSI,32.5,31.6,32.7,32.4,33.1,2564950.0,5013642.0,6670103.0,36.6,19.9,1852.0,17.1,15486.0,490.06,18.2,1.79,10.0,1789.0,1.8391959798994977,97.74531169158068
SBT,16.9,17.2,17.25,16.7,17.5,1586170.0,4166250.0,6649090.0,41.7,17.1,766.0,22.5,9581.0,557.02,12.8,0.97,6.0,540.0,2.43859649122807,133.6981698169817
SAB,228.1,225.0,230.0,225.0,231.0,87040.0,100666.0,107015.0,334.5,186.2,7548.0,29.8,144288.0,641.28,23.0,0.87,35.0,6978.0,1.7964554242749733,6370.373313730554
VSH,17.0,16.8,16.85,16.85,17.05,11680.0,52222.0,60935.0,19.6,14.5,1430.0,11.7,3465.0,202.24,14.1,0.2,10.0,1166.0,1.3517241379310345,3872.697330626939
VNM,190.6,191.0,189.0,189.0,191.9,201080.0,936823.0,725344.0,214.8,125.3,7093.0,26.9,277228.0,1451.45,16.4,0.91,43.0,6442.0,1.7142857142857144,1549.3321577288345
VHC,51.3,52.0,52.0,50.6,52.2,17830.0,155941.0,265535.0,60.1,43.2,6424.0,8.1,4805.0,92.4,31.6,0.71,20.0,6004.0,1.3912037037037037,592.5317908696238
VIC,80.7,78.2,79.0,79.0,81.1,739510.0,2101573.0,2904832.0,87.2,40.0,1610.0,48.6,206269.0,2637.71,19.8,1.14,10.0,589.0,2.18,1255.1122421157868
VCB,61.1,60.9,62.0,61.0,62.5,596540.0,2355246.0,2516792.0,69.1,34.1,2261.0,26.9,219104.0,3597.77,15.0,1.35,15.0,1876.0,2.0263929618768324,1527.555932586235
VSC,35.0,35.1,35.1,34.9,35.8,133980.0,217659.0,269842.0,57.4,34.7,4735.0,7.4,1599.0,50.11,34.1,0.52,15.0,5015.0,1.654178674351585,230.22250400856385
VJC,186.8,185.0,186.0,186.0,190.0,429490.0,1099686.0,1135185.0,199.5,74.9,10009.0,18.5,83499.0,451.34,22.2,0.92,45.0,4326.0,2.663551401869159,410.42624894742676
VNS,13.9,14.0,13.5,13.5,14.1,3820.0,146204.0,89369.0,29.1,12.1,2760.0,5.1,950.0,67.86,24.2,0.44,12.0,4582.0,2.4049586776859506,464.14598779787144
ITC,14.4,14.4,0.0,0.0,0.0,0.0,92597.0,197112.0,16.1,11.0,1158.0,12.4,995.0,68.65,23.0,-0.09,5.0,375.0,1.4636363636363638,741.3847100877998
LSS,10.6,10.5,10.55,10.3,10.9,46050.0,220754.0,247054.0,14.0,8.5,1513.0,6.9,735.0,70.0,23.3,0.7,7.0,1635.0,1.6470588235294117,317.09504697536624
VOS,2.52,2.63,2.5,2.46,2.73,78420.0,714824.0,262715.0,3.5,1.0,-2559.0,-1.0,368.0,138.11,2.9,-0.37,-89.0,-1887.0,3.5,193.20839815115332
OGC,1.91,1.9,2.0,1.88,2.0,1009460.0,3204597.0,2775688.0,3.1,1.1,-1552.0,-1.2,570.0,300.0,2.6,0.07,-59.0,-2424.0,2.818181818181818,93.61551546107044
PME,82.0,82.0,82.1,82.0,82.1,530.0,40071.0,23076.0,92.0,78.1,4391.0,18.7,5349.0,65.23,24.7,0.23,18.0,1915.0,1.17797695262484,1627.8605475281377
PAN,50.9,50.4,52.0,50.9,52.0,68060.0,61679.0,146561.0,51.0,33.0,3070.0,16.4,5933.0,117.72,35.4,0.61,12.0,2189.0,1.5454545454545454,1908.5912547220285
TCH,20.95,20.6,20.6,20.6,21.0,667990.0,2270647.0,1820374.0,25.3,14.9,1331.0,15.5,7478.0,362.99,12.0,0.11,11.0,1105.0,1.6979865771812082,159.86192481702352
GEX,29.9,30.2,30.3,29.9,30.5,147860.0,1238403.0,1507245.0,34.5,18.6,2905.0,10.4,8057.0,266.8,23.6,1.15,21.0,1720.0,1.8548387096774193,215.4387545895803
VCI,80.0,80.0,81.5,79.0,81.5,72530.0,90498.0,130705.0,90.0,48.0,4841.0,16.5,9600.0,120.0,22.1,0.32,22.0,823.0,1.875,1325.9961546111517
TDC,7.85,7.79,8.05,7.79,8.1,45430.0,215845.0,261135.0,9.1,5.5,1284.0,6.1,779.0,100.0,12.3,0.07,11.0,1208.0,1.6545454545454545,463.2954203247701
TCM,25.0,24.5,25.25,24.8,25.5,144370.0,741393.0,683657.0,32.5,16.4,3720.0,6.6,1266.0,51.55,20.8,0.79,18.0,2217.0,1.981707317073171,69.53127423647106
VNE,6.25,6.1,6.28,6.25,6.3,53960.0,449353.0,406102.0,10.5,6.0,713.0,8.6,552.0,88.83,10.5,0.58,7.0,161.0,1.75,197.6842259871415
KSA,0.86,0.92,0.86,0.86,0.86,567990.0,1429942.0,1360817.0,2.7,0.9,130.0,7.1,86.0,93.43,10.7,0.44,1.0,70.0,3.0,65.33831442114436
SHN,10.0,10.0,10.0,10.0,10.1,621900.0,1179580.0,1338910.0,10.8,9.1,1199.0,8.3,1176.0,123.44,17.5,0.35,7.0,982.0,1.186813186813187,104.64741687719358
AAA,27.25,27.0,27.3,27.2,27.95,693320.0,1385029.0,1267636.0,33.8,22.3,2672.0,10.1,2257.0,83.6,27.4,0.78,16.0,2397.0,1.515695067264574,60.35974698002713
SCR,11.15,11.0,11.2,11.05,11.3,1066190.0,3871199.0,8439075.0,12.8,7.5,938.0,11.7,2683.0,243.87,14.3,0.96,6.0,711.0,1.7066666666666668,62.9959865147723
AGR,5.5,5.5,5.5,5.5,5.7,51110.0,578604.0,1119221.0,6.7,3.0,296.0,18.6,1166.0,211.2,8.4,0.97,4.0,-1965.0,2.2333333333333334,365.01648796067775
EIB,14.7,14.7,15.05,14.7,15.05,121580.0,695535.0,934335.0,16.2,9.8,425.0,34.6,18162.0,1235.52,11.2,0.84,4.0,-246.0,1.6530612244897958,1776.359205503677
BHN,144.0,138.6,142.0,142.0,144.0,2620.0,25952.0,9535.0,167.6,74.6,3242.0,42.8,32127.0,231.8,28.9,1.86,11.0,2567.0,2.246648793565684,8931.874229346486
VPB,54.2,52.5,53.3,53.0,55.1,3901310.0,2300881.0,4377290.0,54.2,35.9,4461.0,11.8,69966.0,1332.69,20.7,0.86,22.0,1026.0,1.50974930362117,579.208572716277
VRE,46.55,47.75,47.9,46.5,48.45,1469290.0,2884290.0,3858704.0,61.0,40.6,474.0,100.7,90777.0,1901.08,13.7,1.39,8.0,0.0,1.5024630541871922,659.1154148854657
ROS,144.7,143.5,143.8,143.8,145.0,638760.0,1470762.0,1052106.0,214.1,76.6,1791.0,80.1,67875.0,473.0,12.0,0.55,15.0,886.0,2.795039164490862,321.6019995077382
VND,28.7,28.5,29.35,28.6,29.35,437870.0,1076294.0,1893519.0,31.7,12.5,2886.0,9.9,4417.0,155.0,15.3,1.66,19.0,1336.0,2.536,144.01269541593655
HDB,44.7,44.6,44.7,44.65,45.1,1177740.0,6179848.0,4591244.0,47.8,39.7,0.0,0.0,43753.0,981.0,0.0,1.98,0.0,0.0,1.2040302267002518,158.74176840595433
NVT,3.37,3.39,3.39,3.37,3.39,20330.0,447924.0,1010078.0,5.0,1.9,-5298.0,-0.6,307.0,90.5,4.3,1.87,-118.0,106.0,2.6315789473684212,202.04320375778033
VHG,0.83,0.84,0.83,0.8,0.85,313290.0,1293810.0,2263892.0,2.8,0.8,-7666.0,-0.1,126.0,150.0,3.6,1.61,-217.0,-159.0,3.4999999999999996,115.93665221323069
SMC,27.5,26.3,27.6,25.75,27.6,7760.0,130274.0,69428.0,31.0,19.6,6437.0,4.1,1105.0,42.0,28.8,0.98,23.0,9994.0,1.5816326530612244,322.3974085389257
C32,35.2,35.2,35.2,35.2,36.1,54640.0,161211.0,117762.0,43.4,31.5,6655.0,5.3,481.0,13.66,32.1,0.53,21.0,7112.0,1.3777777777777778,84.73367201989939
CVT,43.3,42.2,42.8,42.5,43.3,125480.0,711685.0,512926.0,56.8,32.6,6131.0,6.9,1191.0,28.22,19.0,0.45,33.0,5412.0,1.7423312883435582,39.652374294807395
TNG,13.8,13.4,13.5,13.5,13.8,82700.0,491156.0,541863.0,15.9,10.3,2801.0,4.8,551.0,41.12,15.3,1.42,18.0,1966.0,1.5436893203883495,83.72085447393496
BVS,18.7,18.8,18.1,18.1,18.7,8600.0,36820.0,111405.0,21.9,15.9,1620.0,11.6,1358.0,72.22,22.9,0.82,7.0,1420.0,1.3773584905660377,1961.4340032590985
PVX,2.0,2.0,2.0,2.0,2.2,1389100.0,2860133.0,2818933.0,2.8,1.9,-895.0,-2.2,800.0,400.0,6.5,1.46,-16.0,367.0,1.4736842105263157,139.8536361770589
KDM,2.5,2.4,2.4,2.4,2.6,15800.0,75250.0,79730.0,6.3,2.4,205.0,11.7,17.0,7.1,10.6,1.52,2.0,245.0,2.625,94.35215946843853
ASA,2.7,2.7,2.6,2.6,2.7,15300.0,112157.0,104181.0,4.0,1.8,48.0,56.3,27.0,10.0,10.5,1.95,0.0,146.0,2.2222222222222223,89.16073004805763
HKB,2.5,2.4,2.4,2.4,2.5,27500.0,555639.0,525005.0,7.8,2.1,-1277.0,-1.9,124.0,51.6,10.2,2.36,-12.0,1138.0,3.714285714285714,92.86605151906184
HVA,3.8,3.8,4.0,3.8,4.0,15200.0,171277.0,145734.0,8.6,2.3,913.0,4.2,21.0,5.65,11.6,1.85,8.0,274.0,3.739130434782609,32.98749978105642
KLF,2.4,2.4,2.4,2.3,2.4,607700.0,3733072.0,2419836.0,6.2,2.1,28.0,85.7,397.0,165.35,10.3,1.59,0.0,92.0,2.9523809523809526,44.293279100965634
VE9,3.6,3.6,3.6,3.6,3.6,5200.0,69254.0,88585.0,7.9,3.0,6042.0,0.6,45.0,12.52,10.5,0.34,58.0,67.0,2.6333333333333333,180.78378144222714
ACB,40.9,39.9,40.7,40.7,41.4,863900.0,3206809.0,4644160.0,42.1,22.1,1856.0,21.5,40990.0,999.41,15.4,1.53,12.0,1173.0,1.9049773755656108,311.6524869426274
BCC,6.2,6.5,6.4,6.2,6.4,20000.0,96095.0,97650.0,17.1,6.4,9.0,722.2,715.0,110.01,16.4,0.27,0.0,2332.0,2.671875,1144.8046204277018
CEO,10.4,10.3,10.5,10.4,10.5,77100.0,1680806.0,1055776.0,12.0,9.7,1036.0,9.9,1590.0,154.4,14.1,0.28,12.0,1131.0,1.2371134020618557,91.86069064484539
DBC,27.7,27.2,28.0,27.7,28.0,1400.0,28321.0,6902.0,32.5,23.0,2416.0,11.3,2253.0,82.82,30.2,0.53,8.0,5448.0,1.4130434782608696,2924.3317679460465
DCS,1.6,1.6,1.6,1.5,1.6,158400.0,295076.0,341614.0,2.8,1.5,21.0,76.2,96.0,60.31,10.6,0.42,0.0,203.0,1.8666666666666665,204.38802206889073
HHG,6.3,6.2,6.2,6.2,6.4,367400.0,193048.0,133132.0,10.6,6.2,1323.0,4.7,179.0,28.84,12.3,0.63,11.0,1408.0,1.7096774193548385,149.39289710331107
HUT,9.1,8.9,9.1,9.0,9.2,349000.0,1491367.0,2087402.0,13.2,8.9,1214.0,7.3,2234.0,251.06,12.9,1.11,9.0,1606.0,1.4831460674157302,168.34219880150226
LAS,13.0,13.1,13.1,13.0,13.1,19900.0,147626.0,128464.0,16.1,11.4,1474.0,8.9,1478.0,112.86,11.6,0.14,13.0,1224.0,1.4122807017543861,764.4994784116619
MBS,14.7,15.5,15.3,14.7,15.4,30600.0,246804.0,231530.0,16.2,4.6,159.0,97.5,1893.0,122.12,10.5,1.52,2.0,-42.0,3.5217391304347827,494.80559472293805
NDN,10.6,10.7,10.5,10.5,10.7,6700.0,366370.0,286480.0,11.9,7.5,2097.0,5.1,451.0,42.14,13.3,0.61,16.0,1035.0,1.5866666666666667,115.020334634386
PGS,32.0,32.0,0.0,0.0,0.0,0.0,62991.0,212283.0,37.0,15.7,2195.0,14.6,1600.0,50.0,19.2,0.22,11.0,5147.0,2.356687898089172,793.7641885348701
PVC,9.3,9.3,9.4,9.3,9.7,62200.0,487147.0,592302.0,14.1,6.4,108.0,86.1,465.0,50.0,19.0,1.35,1.0,-1062.0,2.203125,102.63842330959649
PVI,37.6,36.5,36.9,36.9,38.0,253500.0,283202.0,324632.0,38.0,22.4,2461.0,14.8,8550.0,225.41,30.7,0.69,9.0,2880.0,1.6964285714285716,795.9336445364086
PVS,21.2,20.6,20.4,20.3,21.5,1972300.0,6696312.0,10523367.0,32.0,15.2,1793.0,11.5,9202.0,446.7,27.0,1.84,6.0,2210.0,2.1052631578947367,66.7083612591528
