Ticker,Close,Close_1D,Open,Low,High,Volume,MeanVol_13W,MeanVol_10D,High52W,Low52W,EPS,PE,Market capital,Float,BookValue,Beta,ROE,EPS_52W,CPM,FVQ,Exchange
BBS,7.2,7.2,0.0,0.0,0.0,0.0,74.0,1150.0,13.9,6.7,800.0,8.7,43000000000.0,6000000.0,17.4,-0.12,5.0,659.0,2.074626865671642,81081.08108108108,BM
BBT,18.3,18.3,0.0,0.0,0.0,0.0,1172.0,3840.0,22.0,3.2,0.0,0.0,125000000000.0,6840000.0,2.3,0.63,89.0,0.0,6.875,5836.177474402731,BM
BCC,8.8,8.8,0.0,0.0,0.0,0.0,197364.0,8095.0,9.0,6.2,900.0,10.2,968000000000.0,110010000.0,16.7,0.5,5.0,172.0,1.4516129032258065,557.3964856812793,BM
BCE,6.95,6.95,0.0,0.0,0.0,0.0,25919.0,14753.0,7.1,5.2,1300.0,5.4,208000000000.0,30000000.0,12.3,0.17,11.0,852.0,1.3653846153846152,1157.4520621937575,BM
BCG,6.28,6.28,0.0,0.0,0.0,0.0,391035.0,188035.0,7.4,5.0,400.0,17.4,678000000000.0,108010000.0,12.3,0.44,4.0,512.0,1.48,276.2156840180547,BM
BCM,22.1,22.1,0.0,0.0,0.0,0.0,35550.0,12450.0,26.5,14.0,94600.0,0.2,548000000000.0,24780000.0,508.5,0.0,20.0,0.0,1.8928571428571428,697.0464135021098,BM
BCP,13.4,13.4,0.0,0.0,0.0,0.0,426.0,70.0,14.9,5.5,200.0,58.5,80000000000.0,6000000.0,0.0,0.0,9.0,0.0,2.709090909090909,14084.507042253521,BM
BDB,9.9,9.9,0.0,0.0,0.0,0.0,9.0,10.0,10.0,3.3,600.0,15.8,11000000000.0,1130000.0,11.3,0.25,6.0,675.0,3.0303030303030303,125555.55555555553,BM
BDC,11.3,11.3,0.0,0.0,0.0,0.0,366.0,270.0,36.8,7.7,0.0,0.0,246000000000.0,21740000.0,0.0,0.0,3.0,0.0,4.779220779220779,59398.90710382513,BM
BDF,11.0,11.0,0.0,0.0,0.0,0.0,982.0,0.0,15.5,11.0,0.0,0.0,17000000000.0,1550000.0,0.0,0.0,10.0,0.0,1.4090909090909092,1578.4114052953157,BM
